mins	assay ID	protein ID	totalprotein	ug-FPP	IBB	p10.772	p11.344	p11.422	p11.482	p11.615	p11.771	p11.826	p11.988	p12.446	p13.042
0	1	TPS7	50	3	1066716.31	0	30569.06	20570.32	0	27395.25	77427.59	15481.99	32092.93	26249.76	10821.57
1	1	TPS7	50	3	1107463.47	0	32162	17375.34	0	24055.83	63872.42	15481.99	20006.08	26071.98	10821
3	1	TPS7	50	3	1101162.26	0	40861.85	24253.23	0	35325.71	89036.38	17469.93	36116.4	34728.94	14320.08
5	1	TPS7	50	3	1120756.47	0	42294.17	26929.69	0	38379.61	88255.59	17238.72	39265.88	39079.37	133333.37
10	1	TPS7	50	3	1124383.08	0	43999.42	26794.38	0	43303.42	92398.87	17975.08	39845.99	35636.38	12867.36
15	1	TPS7	50	3	1133874.35	17854.18	73767.07	50391.28	0	67728.62	147441.13	32011.7	62951.27	47348.34	19682.12
20	1	TPS7	50	3	1129002.4	13776.47	62804.86	41003.48	0	67466.63	131702.8	27687.51	54415.65	40996.18	16882.24
45	1	TPS7	50	3	1141236.88	24499.18	89124.79	59707.44	13976.99	78215.97	172599.37	37706.98	82818.67	77764.33	31808.78
0	2	TPS7	40	2	1099849.39	0	38213.01	22960.35	0	38769.07	86755.51	16291.65	35012.64	24697.43	0
1	2	TPS7	40	2	1114388.1	0	35564.44	22053.26	0	37105.67	77814.08	15069.59	28944.41	30862.59	13089.16
3	2	TPS7	40	2	1106245.35	0	37491.37	24571.11	0	38811.02	89143.38	16820.23	34992.61	33867.08	12314.37
5	2	TPS7	40	2	1232090.95	0	48780.27	32036.56	0	54898.46	109533.11	22545.39	45100.42	42061.23	15692.91
10	2	TPS7	40	2	1131262.56	0	40942.71	31812.63	0	50375.53	98475.53	19946.89	41688.59	38222.2	13770.19
15	2	TPS7	40	2	1137640.82	11737.76	49348.93	33209.24	0	58561.11	107968.72	24636.6	47794.9	39001.22	15587.75
20	2	TPS7	40	2	1142333.63	11774.5	61763.36	50903.28	0	67016.3	130306.91	27355.9	52914.96	39823.32	13222.66
45	2	TPS7	40	2	1113408.49	14156.52	51384.9	51521.58	0	65145.68	127661.28	27198.16	55554.42	52094.66	19295.45
															
															
															
															
															
															
