Timestamp	Gender	Age	How extroverted are you?	How confident are you?	How individualistic are you?	How organized are you?	How dominant are you?	How impulsive are you?	How libidinous are you?	How ambitious are you?	How altruistic are you?	Sexual orientation	How courageous are you?	Which are most awesome?	Which are most awesome?	Who is most awesome?	Which is most awesome?	Which are most awesome?	Which are most awesome?	Which is most awesome?	Which are most awesome?	Who is most awesome?	Which is most awesome?	How detail oriented are you?	
10/30/2014 23:55:01	Female	33		4	5		4	4	4	5	4	Bisexual		Vampires	Wizards	Batman		Pirates	Warrior Princesses		Elves	Sherlock Holmes	Greek Mythology		
10/31/2014 0:01:02	Female	44		4	5		3	2	2	3	4	Straight		Vampires	Knights	Batman		Pirates	Witches		Elves	King Arthur	Celtic Mythology		
10/31/2014 0:10:37	Female	45		3	5		2	4	3	3	4	Gay/Lesbian		Werewolves	Wizards	Batman		Ninjas	Warrior Princesses		Elves	Robin Hood	Norse Mythology		
10/31/2014 0:11:39	Female	34		5	3		4	3	4	3	2	Bisexual		Vampires	Rogues	Batman		Pirates	Warrior Princesses		Elves	King Arthur	Norse Mythology		
10/31/2014 0:33:30	Female	34		3	3		2	4	4	2	4	Other		Vampires	Rogues	Batman		Ninjas	Witches		Elves	Robin Hood	Greek Mythology		
10/31/2014 0:37:14	Female	32		4	3		3	3	4	4	3	Straight		Vampires	Wizards	Batman		Ninjas	Witches		Elves	Sherlock Holmes	Greek Mythology		
10/31/2014 1:00:42	Female	33		4	5		4	3	4	3	5	Straight		Werewolves	Rogues	Batman		Ninjas	Witches		Elves	Sherlock Holmes	Norse Mythology		
10/31/2014 1:03:00	Female	39		3	3		2	2	4	3	2	Straight		Vampires	Wizards	Batman		Pirates	Warrior Princesses		Elves	Sherlock Holmes	Norse Mythology		
10/31/2014 2:22:33	Female	32		3	3		2	2	4	4	3	Bisexual		Vampires	Wizards	Superman		Pirates	Warrior Princesses		Elves	Sherlock Holmes	Greek Mythology		
10/31/2014 3:49:28	Female	38		3	2		4	3	3	2	3	Bisexual		Vampires	Rogues	Batman		Pirates	Witches		Elves	King Arthur	Celtic Mythology		
10/31/2014 5:43:55	Female	40		4	4		2	1	2	4	4	Straight		Vampires	Wizards	Batman		Pirates	Witches		Elves	King Arthur	Norse Mythology		
10/31/2014 6:25:41	Female	33		3	3		4	5	3	1	3	Straight		Vampires	Wizards	Batman		Ninjas	Warrior Princesses		Elves	Robin Hood	Greek Mythology		
10/31/2014 6:57:09	Male	32		4	4		4	5	3	4	3	Straight		Vampires	Knights	Batman		Pirates	Warrior Princesses		Dwarves	King Arthur	Norse Mythology		
10/31/2014 7:48:41	Male	27		4	5		4	2	4	4	3	Straight		Werewolves	Wizards	Batman		Ninjas	Witches		Elves	Robin Hood	Celtic Mythology		
10/31/2014 7:53:13	Male	28		4	3		4	3	4	3	4	Bisexual		Vampires	Rogues	Batman		Pirates	Warrior Princesses		Elves	Robin Hood	Norse Mythology		
10/31/2014 8:04:11	Female	27		4	2		2	3	4	5	4	Other		Werewolves	Wizards	Batman		Ninjas	Nymphs		Elves	Sherlock Holmes	Greek Mythology		
