"CSA_AA.Entire_Root_.Mexican_Pop._1." "CSA_AB.Entire_Root_.Mexican_Pop._2." "CSA_AC.Entire_Root_.Mexican_Pop._3." "CSA_AD.Entire_Petioles_.Mexican_Pop._1." "CSA_AF.Buds_.Mexican_Pop._1." "CSA_AG.Buds_.Mexican_Pop._3." "CSA_AH.Mature_Flower_.Mexican_Pop._1." "CSA_AI.Mature_Flower_.Mexican_Pop._2." "CSA_AJ.Mature_Flower_.Mexican_Pop._3." "CSA_AK.Young_Leaf_.Mexican_Pop._1." "CSA_AL.Young_Leaf_.Mexican_Pop._2." "CSA_AM.Young_Leaf_.Mexican_Pop._3." "CSA_AN.Mature_Leaf_.Mexican_Pop._2." "CSA_AO.Entire_Primary_Stem_.Mexican_Pop._3." "CSA_AP.Buds_.Mexican_Pop._2." "CSA_AQ.Mature_Leaf_.Mexican_Pop._1." "CSA_AR.Mature_Leaf_.Mexican_Pop._3."
"10000_iso_2_len_1153_ver_2" 50.8 51.21 45.07 128.26 67.03 41.16 66.3 65.49 54.68 42.43 40.47 38.48 46.16 101.99 44.64 45.63 44.33
"10001_iso_4_len_877_ver_2" 22.83 26.26 19.43 33.78 55.73 32.81 39.22 34.44 44.84 40.74 56.82 54.16 62.95 32.26 38.25 87.35 49.61
"10002_iso_4_len_5011_ver_2" 16.02 11.88 16.4 18.65 17.13 14.04 23.82 24.78 15.99 15.97 14.25 18.87 10.64 18.26 23.58 9.89 11.92
"10003_iso_1_len_2528_ver_2" 9.05 9.45 8.39 15.73 26.12 18.36 28.22 28.4 20.4 16.2 17.11 17.31 12.83 14.45 23.95 12.5 14.46
"10005_iso_4_len_2018_ver_2" 14.31 13.65 15.21 17.3 14.08 12.32 16 18.09 16.09 17.23 13.39 18.13 15.85 16.91 17.79 18 18.55
"10006_iso_1_len_1803_ver_2" 17.31 20.09 18.65 6.07 3.4 5.51 4.71 4.13 3.31 6.17 5.75 4.44 6.59 6.68 1.79 4.85 7.88
"10007_iso_1_len_2702_ver_2" 35.35 36.1 37.35 18.84 26.04 19.82 41.25 43.91 23.72 11.61 10.13 13.62 17.6 14.5 25.91 10.37 6.92
"10008_iso_3_len_688_ver_2" 23.31 22.8 21.1 31.26 24.15 20.06 25.11 16.38 22.88 18.79 23.57 16.43 23.54 29.06 10.27 23.34 25.12
"10009_iso_1_len_1199_ver_2" 0 0 0 1.71 39.31 72 28.44 36.05 66.69 13.15 10.58 13.34 8.34 1.32 59.12 20.09 29.12
"1000_iso_2_len_3566_ver_2" 64.71 59.41 61.24 46.74 46.22 33.04 71.09 78.48 41 31.51 31.75 27.86 31.58 42.14 40.7 22.47 17.11
"10010_iso_1_len_531_ver_2" 1.64 1.57 2.44 7.08 18.67 12.42 15.78 14.18 38.14 42 71.56 51.91 78.65 21.33 18.92 128.62 96.17
"10011_iso_2_len_1438_ver_2" 18.24 17.07 15.56 20.71 13.85 11.73 17.44 12.58 17.29 30.34 21.62 30.67 41.22 18.64 15.22 49.42 29.03
